국명(표준명·유통명),학명,영명,식물 특징,물주기 방법,유지 관리 포인트,과명,적절한 온도,적절한 광선,적절한 습도,효과,주의할 병충해,관리난이도,독성주의,Tip,문제 발생시,기타
보스톤고사리,Nephrolepis exaltata,Boston fern,"보스톤고사리는 분수같이 아치형으로 떨어지는 잎 모양이 풍성하고 싱그러워 많은 사랑을 받고 있는 실내식물이다. 습도가 높은 숲이나 습지의 반양지 같은 습한 곳에 자생하는 식물이므로 실내재배 시 물이 부족하면 잎 끝이 갈색으로 변 하거나 떨어지니 충분히 분무해줘야 한다. 실내재배 시 봄과 가을에 충분한 햇빛을 받아야 포기가 바르 게 자라고 잎의 색도 진해진다. 자연종은 포자로, 재배종은 포기나누기를 통하여 번식하며 수경재배도 가능하다.","봄~가을은 물에 잠기지 않도록 배수에 주의하고, 흙을 촉촉 하게 유지한다. 겨울에는 토양 표면이 말랐을 때 충분히 물 을 준다.","건조할 때 잎에 분무하여 습도를 유지하는 것이 중요하다. 유기질이 풍부한 화분용 배합토에서 잘 자라고, 뿌리가 화분 가득히 뻗어있는 것이 이상적이 다. 한여름의 직사광선은 피하고 습도유지가 되어야 잘 자란다.",줄고사리과,15~35℃ (최저 13℃),반양지,보통,"공기정화, 포름알데히드 제거, 상대습도 증가","응애, 진딧물, 깍지벌레, 온실가루이",중,,잎의 선이 아름다운 식물로 걸이화분이나 받침대가 있는 화분에 심어 조금 높은 위치에 놓 으면 더 멋있게 볼 수 있다.,,
기붐새깃아재비(실버레이디),Blechnum gibbum,Miniature Tree Fern,"열대지방에서 서식하는 식물답게 고온 다습한 관경에서는 잘 자라지만, 직사광선과 추위에는 약하다.","토양표면이 마르면 충분히 물을 주고, 분무 등을 통해 공중 습도를 높게 유지한다.",습도 유지가 중요하므로 건조할 때 잎에 분무해야 한다. 실내에서 키울 경우 20℃ 정도를 유지해야 하고 환기가 잘 되는 곳에 배치한다.,새깃아재비과,10~30℃ (최저 10℃),반음지,높은편,"미세먼지 제거, 공기정화, 포름알데히드 제거","깍지벌레, 가루깍지벌레",중,,,,
상록넉줄고사리'후마타',Davallia griffithiana (Humata tyermannii),Squirrel's-foot fern,넉줄고사리는 우리나라에 자생하는 식물로 바위나 나무에 붙어 자라는 다년생 양치식물로 높이가 20cm 정도이다. 번 식이 빠르게 잘되어 관리를 잘하면 연중 초록의 싱그러움을 볼 수 있다. 뿌리줄기의 모양이 독특하고 매력적이다. 반음 지에서 잘 자라지만 적당한 빛이 있어야 튼튼하게 자라고 오 랫동안 한 방향으로만 햇빛을 받으면 잎이 한쪽으로 치우치 므로 주기적으로 돌려가며 키운다. 시중에서는 후마타고사리가 유통되는데 흙 위로 올라온 발 처럼 생긴 근경의 모양이 독특하고 매력적이다.,"고사리과 식물들은 흙이 습한 것보다 공중습도가 높은 환경 을 좋아한다. 봄~가을 흙을 물에 잠기지 않고 촉촉하게 유지 하고, 겨울에는 토양 표면이 말랐을 때 충분히 물을 준다. 건 조하지 않도록 자주 분무한다.",너무 건조하면 해충이 발생하므로 자주 분무하여 공중습도를 건조하지 않게 유지한다. 반음 지에서 잘 자라며 흙 위에 올라 온 근경만 살아있으면 언제든지 새순을 낼 수 있다.,넉줄고사리과,20-25℃ (최저 3℃),반음지,높은편,"포름알데히드·톨루엔 등 제거, 음이온 발생, 상대습도 증가, 이산화탄소 감소","응애, 온실가루이",하,,"양치식물은 포름알데히드 제거능력이 우수한 편이고, 넉줄고사리는 양치식물 중에서도 포 름알데히드 제거능력이 가장 탁월하다. 음이온이 발생하고 실내습도를 조절할 수 있어 거 실에 두면 좋다. 거실에 배치할 때 큰 화분의 지피식물로 활용하면 공기정화능력을 향상 시 킬 수 있다.",,
넉줄고사리,Davallia mariesii,Squirrel's-foot fern,넉줄고사리는 우리나라에 자생하는 식물로 바위나 나무에 붙어 자라는 다년생 양치식물로 높이가 20cm 정도이다. 번 식이 빠르게 잘되어 관리를 잘하면 연중 초록의 싱그러움을 볼 수 있다. 뿌리줄기의 모양이 독특하고 매력적이다. 반음 지에서 잘 자라지만 적당한 빛이 있어야 튼튼하게 자라고 오 랫동안 한 방향으로만 햇빛을 받으면 잎이 한쪽으로 치우치 므로 주기적으로 돌려가며 키운다. 시중에서는 후마타고사리가 유통되는데 흙 위로 올라온 발 처럼 생긴 근경의 모양이 독특하고 매력적이다.,"고사리과 식물들은 흙이 습한 것보다 공중습도가 높은 환경 을 좋아한다. 봄~가을 흙을 물에 잠기지 않고 촉촉하게 유지 하고, 겨울에는 토양 표면이 말랐을 때 충분히 물을 준다. 건 조하지 않도록 자주 분무한다.",너무 건조하면 해충이 발생하므로 자주 분무하여 공중습도를 건조하지 않게 유지한다. 반음 지에서 잘 자라며 흙 위에 올라 온 근경만 살아있으면 언제든지 새순을 낼 수 있다.,넉줄고사리과,20-25℃ (최저 3℃),반음지,높은편,"포름알데히드·톨루엔 등 제거, 음이온 발생, 상대습도 증가, 이산화탄소 감소","응애, 온실가루이",하,,"양치식물은 포름알데히드 제거능력이 우수한 편이고, 넉줄고사리는 양치식물 중에서도 포 름알데히드 제거능력이 가장 탁월하다. 음이온이 발생하고 실내습도를 조절할 수 있어 거 실에 두면 좋다. 거실에 배치할 때 큰 화분의 지피식물로 활용하면 공기정화능력을 향상 시 킬 수 있다.",,
봉의꼬리,Pteris multifida,Spider brake fern,"봉의꼬리는 한국이 원산지이며 남부지방 숲속이나 길가 절벽이나 돌담에서 자라는 상록성의 양치식물로 높이는 30~70cm이다. 갈라진 잎의 모양이 봉의꼬리처럼 생겨 붙 여진 이름이다. 잎몸 중측 상부에 날개가 뚜렷하게 있는 점 이 특징이다. 속명 프테리스(Pteris)는 '날개', '깃털'을 뜻하 는 'pteron'에서 유래한 것으로 '고사리'를 나타내고 멀티피 다(multifida)는 '여러 개로 갈라진'이란 의미로 학명이 '여러 갈래로 갈라진 고사리'라는 뜻을 가진다. 잎에 흰색 또는 백녹색 무늬가 있는 품종으로 알록큰봉의꼬 리(Pteris nipponica)가 있다. 봉의 꼬리와 달리 잎몸의 중측 에 날개가 없다. 포자엽 뒷면의 포자로 번식하거나 포기나누기로 번식한다.","봄~가을 흙을 물에 잠기지 않고 촉촉하게 유지하고, 겨울에 는 토양 표면이 말랐을 때 충분히 물을 준다. 건조하지 않도록 자주 분무한다.","공중습도가 높아야 건강하게 자라므로, 자주 분무하여 건조하지 않게 관리한다.",꼬리고사리과,16~20℃ (최저 5℃),반양지~반음지,높은편,"포름알데히드 제거, 음이온 발생, 상대습도 증가","응애, 깍지벌레",상,,봉의꼬리는 양치식물 중에서 포름알데히드 제거에 탁월하다. 습도와 음이온 발생량도 좋아 서 거실에 놓으면 가구에서 나오는 포름알데히드 제거와 건조한 실내습도를 조절할 수 있다.,"고사리류(Ferns) 문제 발생시 ▶ 고사리 잎의 뒷면에 갈색 반점 및 규칙적인 선 : 포자가 형성된 것으로 잎이 성숙하고 건강하다는 것을 뜻하며, 고사리는 포자로 번식함. ▶ 잎 위로 불규칙하게 흩어진 갈색 껍질들: 깍지벌레일 수 있다. 젖은 천 등을 이용하여 제거가 가능 ▶ 식물 하단부터 진행되는 잎의 황변화, 잎에 갈색 반점이 생기고 잎이 떨어질 때: 1) 식물 가까이 난방기기가 원인이 될 수 있음 2) 물주는 방법이 잘못되었을 경우 Tip 바른 물주기: 공중습도가 높은 환경을 조성해 주고 토양을 촉촉하게 유지하되 너무 습하면 뿌리가 썩으니 주의한다. 겨울철에는 물기는 횟수를 줄여준다 ▶ 잎이 노랗거나 성장이 저해될 때: 공기가 너무 건조할 경우 ▶ 잎이 약하거나, 표면에 긁힌 자국이 있을 때: 빛이 너무 많을 경우. 여름철 직사광선으로부터 보호되어야 함 ▶ 식물이 약하거나 성장이 저해될 때: 비료가 충분하지 않을 때. 고사리는 성장기에 종종 비료를 주는 것이 필요 ▶ 잎이 고사할 때: 1) 공기가 건조할 경우 2) 토양의 수분이 부족한 경우",
알록큰봉의꼬리,Pteris nipponica,Spider brake fern,"봉의꼬리는 한국이 원산지이며 남부지방 숲속이나 길가 절벽이나 돌담에서 자라는 상록성의 양치식물로 높이는 30~70cm이다. 갈라진 잎의 모양이 봉의꼬리처럼 생겨 붙 여진 이름이다. 잎몸 중측 상부에 날개가 뚜렷하게 있는 점 이 특징이다. 속명 프테리스(Pteris)는 '날개', '깃털'을 뜻하 는 'pteron'에서 유래한 것으로 '고사리'를 나타내고 멀티피 다(multifida)는 '여러 개로 갈라진'이란 의미로 학명이 '여러 갈래로 갈라진 고사리'라는 뜻을 가진다. 잎에 흰색 또는 백녹색 무늬가 있는 품종으로 알록큰봉의꼬 리(Pteris nipponica)가 있다. 봉의 꼬리와 달리 잎몸의 중측 에 날개가 없다. 포자엽 뒷면의 포자로 번식하거나 포기나누기로 번식한다.","봄~가을 흙을 물에 잠기지 않고 촉촉하게 유지하고, 겨울에 는 토양 표면이 말랐을 때 충분히 물을 준다. 건조하지 않도록 자주 분무한다.","공중습도가 높아야 건강하게 자라므로, 자주 분무하여 건조하지 않게 관리한다.",꼬리고사리과,16~20℃ (최저 5℃),반양지~반음지,높은편,"포름알데히드 제거, 음이온 발생, 상대습도 증가","응애, 깍지벌레",상,,봉의꼬리는 양치식물 중에서 포름알데히드 제거에 탁월하다. 습도와 음이온 발생량도 좋아 서 거실에 놓으면 가구에서 나오는 포름알데히드 제거와 건조한 실내습도를 조절할 수 있다.,"고사리류(Ferns) 문제 발생시 ▶ 고사리 잎의 뒷면에 갈색 반점 및 규칙적인 선 : 포자가 형성된 것으로 잎이 성숙하고 건강하다는 것을 뜻하며, 고사리는 포자로 번식함. ▶ 잎 위로 불규칙하게 흩어진 갈색 껍질들: 깍지벌레일 수 있다. 젖은 천 등을 이용하여 제거가 가능 ▶ 식물 하단부터 진행되는 잎의 황변화, 잎에 갈색 반점이 생기고 잎이 떨어질 때: 1) 식물 가까이 난방기기가 원인이 될 수 있음 2) 물주는 방법이 잘못되었을 경우 Tip 바른 물주기: 공중습도가 높은 환경을 조성해 주고 토양을 촉촉하게 유지하되 너무 습하면 뿌리가 썩으니 주의한다. 겨울철에는 물기는 횟수를 줄여준다 ▶ 잎이 노랗거나 성장이 저해될 때: 공기가 너무 건조할 경우 ▶ 잎이 약하거나, 표면에 긁힌 자국이 있을 때: 빛이 너무 많을 경우. 여름철 직사광선으로부터 보호되어야 함 ▶ 식물이 약하거나 성장이 저해될 때: 비료가 충분하지 않을 때. 고사리는 성장기에 종종 비료를 주는 것이 필요 ▶ 잎이 고사할 때: 1) 공기가 건조할 경우 2) 토양의 수분이 부족한 경우",
털머위,Farfugium japonicum,Leopard plant,"우리나라 울릉도와 남부지방 바닷가 쪽에서 자라는 상록성 의 여러해살이풀이다. 높이가 30~70cm로 9~11월에 노란색 꽃이 피며 식물의 전체에 털이 많고 잎이 머위를 닮았다 하 여 이름이 붙여졌다. 실내외 조경용으로 심고, 어린 잎자루 는 식용하고, 민간요법으로 활용한다.",토양 표면이 말랐을때 충분히 물을 준다.,토양 표면이 말랐을때 충분히 물을 준다.,국화과,16~24℃ (최저 5℃),양지~반양지,보통,"음이온 발생, 상대습도 증가, 이산화탄소 감소","응애, 깍지벌레, 온실가루이",중,,"음이온 발생량과 습도 발생량이 많아 공부방에 배치하면 집중력향상에 좋고, 실내습도를 증 가시키는 효과가 좋다.",,
벵갈고무나무,Ficus benghalensis L.,Fig Indian,"벵갈고무나무는 원산지인 인도에서 장수와 풍요를 상징해 신성하게 여기는 식물로 회백색 수피에 잎 무늬가 아름다워 실내식물로 인기가 많다. 미세먼지 제거 측정 실험에서 제거 능력이 뛰어난 식물로 산호수와 함께 선정되었으며, 음이온 발생량이 최고 등급인 우수한 공기정화식물이다. 번식은 삽목이나 취목을 이용한다.",토양표면이 마르면 물을 충분히 준다.,"봄·가을처럼 건조할 때는 자주 분무해주고, 습할 때는 환기를 자주 해준다.",뽕나무과,21~25℃ (최저 13℃),반양지,보통,"자일렌 등 다양한 공기오염 물질 제거, 미세먼지 제거, 음이온 발생, 상대습도 증가","응애, 깍지벌레",중,수액에 독성 함유,관상 포인트인 잎의 무늬를 유지하려면 햇빛을 많이 받아 야 하므로 밝은 거실이나 창가에 배치한다. 벵갈고무나무는 음이온 발생량이 최상 등급인데 음이온은 멀리 퍼지지 않으 므로 식물을 사람과 가까운 곳에 두는 것이 좋다 .,,
벤자민고무나무,Ficus benjamina,"Waringin, Weeping fig","실내공기 오염물질 제거 능력이 뛰어나 인기가 높은 벤자민 고무나무는 키가 크고 우아해 보이는 가지를 부드럽게 늘어 뜨리고 있는 모습에서 Weeping fig가 영명으로 유래되었다 고 한다. 벤자민고무나무는 일반적으로 세가지 형태가 있는 데, 원줄기가 뚜렷한 나무형태와 줄기가 밑부분에서 여러 가 지로 갈라지는 관목형태, 2~3가지가 꼬여서 자라는 형태가 있다. 잎도 짙은 녹색, 밝은 녹색, 그리고 무늬가 있는 잎까 지 종류가 다양하다. 단, 환경변화에 민감하고 이동을 싫어하여 새로운 환경에 적응하는 동안 잎이 떨어지는 경우가 있지만, 일단 적응하 면 잘 생장한다. 수경재배나 저면관수로 기르는 것이 이상적이다. 식물 전체적으로 독성물질이 함유하고 있다.","토양은 가급적 촉촉하게 유지한다. 봄~가을에는 토양표면이 말랐을 때 물을 충분히 주고, 겨울에는 토양이 대부분 말랐 을 때 충분히 물을 준다.",뿌리가 화분에 꽉 차는 것을 좋아하므로 매년 분갈이할 필요가 없다. 지나치게 물을 많이 주면 뿌리썩음병이 발생한다.,뽕나무과,16~24℃ (최저 13℃),양지~반양지,보통,"포름알데히드·벤젠 등 다양한 공기오염물질 제거, 음이온 발생, 상대습도 증가",깍지벌레,상,수액에 독성 함유,"자동차에서 나오는 배기가스를 많이 제거하므로 빛이 들어오는 현관에 배 치하면 좋다. 화분 지면에 아이비, 스 킨답서스 등을 함께 심으면 공기정화 효과가 커진다.",,
인도고무나무,Ficus elastica,"Assam Rubber, India Rubber Plant","고무나무는 약 800~2,000종이 주로 열대지역에 분포되어 있다. 열대지역에서는 녹음수 또는 가로수로 이용되며 온대 지역에서는 실내 관엽식물로 이용된다. 토양재배, 수경재배 모두 잘 자란다. 흰색의 수액이 자극적이니 주의해야 한다.",토양표면이 말랐을 때 물을 충분히 준다.,가지치기를 하지 않으면 웃자라 주변 식물에 영향을 줄 수 있다.,뽕나무과,16~27℃ (최저 5℃),반양지~반음지,낮거나 보통,"포름알데히드 제거, 공기정화","응애, 깍지벌레, 가루깍지벌레",하,수액에 독성 함유,고무나무 종류 중에 실내의 화학적 독소를 제거하는 능력이 뛰어나고 넓고 큰 공간에 잘 어울리므로 거실에 두면 좋다.,,
무늬왕모람(푸미라),Ficus pumila 'Variegata',Creeping fig,실내정원을 조성할 때 녹색 카페트를 만들 수 있을 만큼 지 피식물로 좋다. 줄기가 가늘고 작은 잎이 풍성하여 걸이화분 에 단독으로 사용하거나 다른 식물과 함께 식재하여 활용할 수 있다. 물만 정기적으로 잘 주면 관리도 쉽다. 식물의 모든 부분이 애완동물에게는 독성이 있으니 주의한 다.,겉흙이 마르면 물을 충분히 준다. 잎에 자주 분무한다.,"다른 식물의 생장을 방해하는 덩굴은 제거한다. 강한 직사광선은 피하고, 배수가 좋은 흙에서 키운다. 삽목이나 휘묻이로 번식한다.",뽕나무과,21~25℃ (최저 5℃),반양지,낮은편,공기정화,"응애, 깍지벌레, 온실가루이",중,식물 모든 부분,"덩굴성으로 베란다에서 벽과 천장을 타고 올라가도록 키울 수 있고, 수경재배도 가능하다.",,고무나무속(Ficus) 문제 발생시 ▶ 잎이 갑자기 떨어질 때: 1) 물을 너무 많이 주는 경우 2) 겨울철 낮은 온도와 부족한 햇빛으로 인한 추위 3) 빛이 부족하거나 식물의 환경이 바뀐 것 4) 과도한 비료가 문제가 되는 경우 ▶ 맨 아래 잎이 떨어질 때: 온도 변화로 발생할 수 있는 자연적인 현상으로 고무나무 종류에 따라 하단의 잎이 노화되 어 노랗게 되거나 떨어질 수 있음 ▶ 하단의 잎이 가장자리가 노랗게 변하거나 떨어질 때: 1) 식물에 심각한 문제가 있을 때 먼저 나타나는 증상 2) 양분이 부족할 경우로 성장기에 적절한 양분을 공급 ▶ 잎이 마르고 시들 때 : 1) 직사광선에 노출될 때 2) 나뭇잎이 너무 많아 수분 공급을 방해할 경우 3) 토양이 건조한 것이 원인
오렌지스타,Fittonia albivenis 'Jade',Mosaic plant,"원산지가 남아메리카인 피토니아는 고온다습하고 통풍이 잘되는 밝은 그늘이나 반그늘에서 잘 자란다. 갑자기 강한 햇빛에 노출되면 잎이 타기 쉽다. 높이가 10~20cm 정도이고, 잎이 무성하고 기는 줄기로 자 란다. 잎에 그물무늬가 있으며, 잎맥의 색상이 잎색과 대조 적인 것이 매력적이다. 꺾꽂이나 포기나누기로 번식한다.","봄~가을에는 토양 표면이 말랐을 때 충분히 물을 주고, 겨울 에는 화분흙이 대부분 말랐을 때 충분히 물을 준다.",건조할 때 잎에 자주 분무한다.,쥐꼬리망초과,21~25℃ (최저 13℃),반음지,높은편,"암모니아 냄새 흡수, 이산화탄소 감소, 톨루엔 제거, 음이온 발생, 상대습도 증가","응애, 온실가루이",중,,"덩굴성 식물로 걸이화분을 사용해도 좋고, 잎의 무늬와 색상이 다양하여 디시 가든과 테라 리엄에 많이 사용한다. 음이온 발생량이 많고, 실내습도 조절에 우수한 식물로 직사광선이 들지 않는 공부방에 두 면 좋다.",▶ 겨울에 갑작스럽게 고사할 때: 춥고 습한 환경은 치명적으로 겨울에는 적절한 온도와 토양습도를 유지해야 함 ▶ 오그라든 잎의 원인: 1) 공기가 너무 건조할 경우 2) 빛이 너무 많은 것이 원인이 될 수 있음 ▶ 늘어지며 자라는 원인: 피토니아는 덩굴성 식물로 늘어지게 자람 ▶ 잎이 노랗게 변하거나 시들 때: 물을 너무 많이 줬을 경우,
화이트스타,Fittonia albivenis 'White Star',Mosaic plant,"원산지가 남아메리카인 피토니아는 고온다습하고 통풍이 잘되는 밝은 그늘이나 반그늘에서 잘 자란다. 갑자기 강한 햇빛에 노출되면 잎이 타기 쉽다. 높이가 10~20cm 정도이고, 잎이 무성하고 기는 줄기로 자 란다. 잎에 그물무늬가 있으며, 잎맥의 색상이 잎색과 대조 적인 것이 매력적이다. 꺾꽂이나 포기나누기로 번식한다.","봄~가을에는 토양 표면이 말랐을 때 충분히 물을 주고, 겨울 에는 화분흙이 대부분 말랐을 때 충분히 물을 준다.",건조할 때 잎에 자주 분무한다.,쥐꼬리망초과,21~25℃ (최저 13℃),반음지,높은편,"암모니아 냄새 흡수, 이산화탄소 감소, 톨루엔 제거, 음이온 발생, 상대습도 증가","응애, 온실가루이",중,,"덩굴성 식물로 걸이화분을 사용해도 좋고, 잎의 무늬와 색상이 다양하여 디시 가든과 테라 리엄에 많이 사용한다. 음이온 발생량이 많고, 실내습도 조절에 우수한 식물로 직사광선이 들지 않는 공부방에 두 면 좋다.",▶ 겨울에 갑작스럽게 고사할 때: 춥고 습한 환경은 치명적으로 겨울에는 적절한 온도와 토양습도를 유지해야 함 ▶ 오그라든 잎의 원인: 1) 공기가 너무 건조할 경우 2) 빛이 너무 많은 것이 원인이 될 수 있음 ▶ 늘어지며 자라는 원인: 피토니아는 덩굴성 식물로 늘어지게 자람 ▶ 잎이 노랗게 변하거나 시들 때: 물을 너무 많이 줬을 경우,
레드스타,Fittonia verschaffeltii 'Red Star',Mosaic plant,"원산지가 남아메리카인 피토니아는 고온다습하고 통풍이 잘되는 밝은 그늘이나 반그늘에서 잘 자란다. 갑자기 강한 햇빛에 노출되면 잎이 타기 쉽다. 높이가 10~20cm 정도이고, 잎이 무성하고 기는 줄기로 자 란다. 잎에 그물무늬가 있으며, 잎맥의 색상이 잎색과 대조 적인 것이 매력적이다. 꺾꽂이나 포기나누기로 번식한다.","봄~가을에는 토양 표면이 말랐을 때 충분히 물을 주고, 겨울 에는 화분흙이 대부분 말랐을 때 충분히 물을 준다.",건조할 때 잎에 자주 분무한다.,쥐꼬리망초과,21~25℃ (최저 13℃),반음지,높은편,"암모니아 냄새 흡수, 이산화탄소 감소, 톨루엔 제거, 음이온 발생, 상대습도 증가","응애, 온실가루이",중,,"덩굴성 식물로 걸이화분을 사용해도 좋고, 잎의 무늬와 색상이 다양하여 디시 가든과 테라 리엄에 많이 사용한다. 음이온 발생량이 많고, 실내습도 조절에 우수한 식물로 직사광선이 들지 않는 공부방에 두 면 좋다.",▶ 겨울에 갑작스럽게 고사할 때: 춥고 습한 환경은 치명적으로 겨울에는 적절한 온도와 토양습도를 유지해야 함 ▶ 오그라든 잎의 원인: 1) 공기가 너무 건조할 경우 2) 빛이 너무 많은 것이 원인이 될 수 있음 ▶ 늘어지며 자라는 원인: 피토니아는 덩굴성 식물로 늘어지게 자람 ▶ 잎이 노랗게 변하거나 시들 때: 물을 너무 많이 줬을 경우,
아이비(잉글리쉬 아이비),Hedera helix,English ivy,"유럽 대부분의 지역과 서아시아에 자생하는 아이비는 덩굴성으로 성장속도가 빠르고 공중 뿌리가 나와서 벽 같은 면이나 철사 등을 타고 오르는 성질을 가졌다. 양담쟁이, 상록담쟁이 등으로도 불리우며 잎이 3~5개로 갈라져 있고 잎의 색과 모양이 품종 에 따라 다양하다. 보통의 실내 환경에서 적응을 잘하는 편이나 무늬가 있는 품종은 빛이 부 족하면 무늬가 없어지므로 빛이 충분해야 한다. 식물체에 독이 있어 아이가 있는 가정에서 키울 경우, 아이 피부에 닿으면 피부염에 걸릴 수 있고 입에 댈 경우 호흡곤란이나 혼수상태에 빠질 수 있다. 새싹이 자라면 순지르기를 해서 가지 수를 늘릴 수 있다. 수경재배나 토양에서 동일하게 재배가 가능하다.","잎에 물을 자주 분무하고, 겉흙이 마르면 물을 충분히 준다.","직사광선을 피한다. 온도가 너무 높은 경우 성장을 방해한다. 성장 시 가지치기하여 다른 식 물의 생장을 방해하는 덩굴을 제거한다. 병충해에 강한 편이나 기온이 높고 건조하면 응애, 깍지벌레가 발생한다.",두릅나무과,15~25℃ (최저 5℃),반양지~반음지,보통,"포름알데히드·톨루엔 제거, 음이온 발생, 상대습도 증가","응애, 깍지벌레",하,식물 모든 부분,"큰 식물의 경우 베란다, 거실에 배치하고, 습도와 음이온 배 출이 많아 작은 화분의 경우 공부방에 놓아 활용한다.",▶ 잎 가장자리가 건조하여 갈변하고 잎이 거의 없이 줄기 만 성장할 때 : 1) 기온이 너무 높을 경우 2) 응애가 있는지 확인 3) 줄기를 자르고 서늘한 곳으로 자리를 이동 ▶ 잎 끝이 건조하고 갈변할 때 : 1) 공기가 너무 건조할 경우 2) 응애가 있는지 확인 3) 떨어진 잎을 제거하고 정기적으로 분무 ▶ 잎 전체가 녹색이 될 때 : 1) 빛이 너무 부족한 경우 2) 분갈이가 필요 ▶ 잎의 크기가 작고 잎이 거의 없이 줄기만 성장할 때 : 빛이 너무 부족한 것이 원인으로 줄기를 자름,
레몬버베나,Aloysia triphylla,Limonetto,"아르헨티나, 칠레 등 남아메리카가 원산지인 레몬버베나는 다년생 관목으로 약 30여 종이 나타난다. 잎은 가늘고 길며 뾰족한 모양으로 황녹색을 띠며 초기에는 목질화되지 않은 연한 줄기를 지녔지만 생장하면서 목질화되는 줄기에 돌려 난다. 꽃은 늦봄이나 초여름에 흰색 또는 보라색의 꽃을 피 고, 작은 여러 꽃들이 밀집하여 원추화서의 모양을 띤다. 잎 뒤에 선점이 있어 레몬향이 나 요리나 방향제 등 다양한 용 도로 이용되고 있으며, 톨루엔 제거 효과까지 뛰어난 실내 식물이다.",화분흙이 말랐을 때 충분히 물을 준다. 여름에는 고온으로 화분흙이 빨리 마르므로 물주기에 주의 한다.,양지 식물인 레몬버베나는 햇빛이 잘 들고 배수가 잘 되는 양질의 토양을 유지하는 것이 좋다. 병해는 적지만 해충의 피해는 많다. 건조한 환경일 때 해충이 많이 생기므로 적절한 환경을 유지하는 것이 중요하다.,마편초과,16~24℃ (최저 ℃),양지~반양지,보통,"톨루엔 제거, 이산화탄소 감소","응애, 깍지벌레",중,,허브식물 중에서 새집증후군의 원인 물질인 톨루엔을 제거하는 능력이 가장 뛰어나다. 햇빛 이 잘 들고 통풍이 잘되는 거실의 창가 또는 베란다에 두면 좋다.,,
학자스민,Jasminum polyanthum,Jasmin polyanthum,"3.5~5m 정도로 자라는 상록성 덩굴식물인 학자스민은 꽃봉 오리는 진홍색을 띠고 꽃은 흰색으로 핀다. 한겨울에 꽃을 피우고 향기가 뛰어나 사람들에게 인기가 많다. 꺾꽂이 또는 휘묻이로 번식을 하며, 번식과 관리가 매우 쉬 워 실내식물로 많이 이용된다. 자스민은 좋은 향기로 예전부터 향수나 차로 이용했다. 달콤 한 향기가 기분전환에 좋아 우울증을 개선해준다.","토양표면이 마르면 충분히 물을 주고, 겨울에는 토양을 건조 하게 관리한다. 너무 건조하지 않도록 자주 분무한다. 꽃이 피는 시기 충분한 물을 준다. 토양은 항상 수분이 있어 야 한다. 토양이 마를 시에 꽃과 꽃봉오리도 마를 수 있다. 그 러나 과습한 상태는 피하도록 한다.","햇빛이 잘 드는 서늘한 곳에 두면 꽃을 오랫동안 볼 수 있으며, 여름에 정원의 나무 그늘같이 서늘한 곳에 두면 꽃봉오리형성이 빨라진다. 꽃이 진 뒤에 가지들을 잘라주고, 가을에 분갈 이를 한 다음 따뜻한 곳에 둔다. 가늘고 길게 자라는 덩굴식물로 작은 화분에 심을 경우 지지 대를 두어 감고 올라갈 수 있게 지지대를 설치하면 좋다.",물푸레나무과,16~24℃ (최저 7℃),양지~반양지,낮은편,포름알데히드 제거,"응애, 진딧물",중,,포름알데히드 제거능력이 우수하며 향기좋은 흰색 꽃이 피는 덩굴식물로 통풍이 잘되고 햇 빛이 풍부한 베란다에 두고 기르면 오랫동안 향기를 즐길 수 있다.,,
라벤더,Lavandula angustifolia,English lavender,"원산지는 지중해 연안이며, 25~30여 종이 있다. 보통 30~60 cm 정도 자라며, 꽃, 잎, 줄기 전체에 미세한 흰색 털이 있고, 그 사이에 향기가 나오는 기름샘이 있다. 손으로 만져 향기 를 맡으면 더 진한 향기를 맡을 수 있다. 허브식물이 향기를 내는 것은 스스로 방어하는 기능때문인데, 손으로 식물을 접 촉하여 자극하거나 해충이 오면 스트레스를 받아 살균기능 을 가진 방향물질을 내뿜어 가까이 오지 못하게 방어한다. 6~9월에 피는 꽃은 긴 꽃대 끝에 드문드문 달리며 아주 작 고 보랏빛을 띠며, 품종에 따라 다양하다. 배수가 잘되는 사 양토에서 기른다. 향유 채취와 관상용으로 재배한다. 향유는 향수와 화장품의 원료로 사용하고, 요리 향료, 두통이나 신경안정을 치료하는 등에도 활용한다.",물은 토양표면이 마르면 흠뻑 준다.,햇빛을 많이 받게 하고 습하지 않은 곳에서 잘 자란다. 물빠짐이 좋고 너무 비옥하지 않은 자 갈이 약간 혼합된 사양토가 좋다.,꿀풀과,15~25℃ (최저 5℃),양지,보통,"포름알데히드 제거, 음이온 발생","응애, 깍지벌레",중,,허브식물 중 포름알데히드 제거량이 가장 우수한 식물이다. 햇빛이 잘 드는 창가나 베란다 에 두는 것이 좋다. 또한 허브식물은 음이온 발생량이 풍부하여 햇빛이 잘 드는 공부방 창 가에 두면 좋다.,,
